Name,Season Type,NBA ID,Year(s),Games,FG,FGA,FG Points,EFG%,EFG+,PAA,PAA/Game,PAR,PAR/Game,ShotSkill+,Volume Percentile,EFG Percentile,PAA/Game Percentile,PAR/Game Percentile,ShotSkill Percentile
Vince Carter,Pre,1713,200910,7,42,89,98,55.1,113.3,11.5,1.6,28.0,4.0,116.5,97,77,90,95,81
Vince Carter,Pre,1713,201011,6,37,61,90,73.8,153.4,31.3,5.2,47.8,8.0,159.4,81,100,100,100,100
Vince Carter,Pre,1713,201112,1,4,11,8,36.4,78.6,-2.2,-2.2,0.2,0.2,57.5,100,100,100,100,100
Vince Carter,Pre,1713,201213,7,28,61,70,57.4,120.1,11.7,1.7,25.2,3.6,121.3,65,85,87,88,85
Vince Carter,Pre,1713,201314,7,25,56,63,56.3,118.7,9.9,1.4,16.4,2.3,116.8,53,84,85,83,81
Vince Carter,Pre,1713,201415,6,12,29,30,51.7,105.8,1.6,0.3,5.1,0.9,109.5,10,63,59,51,72
Vince Carter,Pre,1713,201516,5,9,29,22,37.9,79.2,-5.8,-1.2,0.4,0.1,79.5,23,12,17,11,15
Vince Carter,Pre,1713,201617,4,7,21,17,40.5,82.1,-3.7,-0.9,-0.5,-0.1,84.5,15,18,24,19,21
Vince Carter,Pre,1713,201718,3,3,14,9,32.1,63.4,-5.2,-1.7,-2.1,-0.7,57.3,2,2,12,4,1
Vince Carter,Pre,1713,201819,4,7,19,19,50.0,99.7,0.0,0.0,8.3,2.1,103.0,0,46,49,18,50
Vince Carter,Pre,1713,201920,5,14,29,39,67.2,131.2,9.3,1.9,15.6,3.1,131.0,3,92,84,73,92
Jason Williams,Pre,1715,200506,6,12,36,28,38.9,82.8,-5.8,-1.0,0.5,0.1,78.4,25,16,22,16,13
